date,original,trend,seasonal,residual
2025-01-01,54800.0,,-2120.693761430602,
2025-01-02,66418.0,,361.2686445844335,
2025-01-03,33490.0,,181.9294858768542,
2025-01-04,28606.0,54741.714285714275,1456.749847591953,-27592.464133306228
2025-01-05,51708.0,54316.0,-1647.002032107296,-960.9979678927041
2025-01-06,108030.0,50183.428571428565,5638.595712253607,52207.97571631783
2025-01-07,40140.0,55722.57142857142,-3870.84789676895,-11711.72353180247
2025-01-08,51820.0,58034.57142857142,-2120.693761430602,-4093.877667140818
2025-01-09,37490.0,54659.142857142855,361.2686445844335,-17530.41150172729
2025-01-10,72264.0,47047.71428571428,181.9294858768542,25034.356228408862
2025-01-11,44790.0,48079.142857142855,1456.749847591953,-4745.892704734808
2025-01-12,28080.0,51559.142857142855,-1647.002032107296,-21832.14082503556
2025-01-13,54750.0,51098.857142857145,5638.595712253607,-1987.4528551107524
2025-01-14,47360.0,46023.42857142857,-3870.84789676895,5207.419325340377
2025-01-15,76180.0,45016.0,-2120.693761430602,33284.6937614306
2025-01-16,34268.0,44016.0,361.2686445844335,-10109.268644584434
2025-01-17,36736.0,42864.57142857143,181.9294858768542,-6310.500914448282
2025-01-18,37738.0,38917.42857142857,1456.749847591953,-2636.1784190205253
2025-01-19,21080.0,34168.857142857145,-1647.002032107296,-11441.85511074985
2025-01-20,46690.0,35484.85714285714,5638.595712253607,5566.547144889255
2025-01-21,19730.0,35986.85714285714,-3870.84789676895,-12386.009246088188
2025-01-22,42940.0,34938.57142857143,-2120.693761430602,10122.122332859175
2025-01-23,43480.0,36849.99999999999,361.2686445844335,6268.7313554155735
2025-01-24,40250.0,37194.714285714275,181.9294858768542,2873.3562284088703
2025-01-25,30400.0,35819.57142857142,1456.749847591953,-6876.321276163373
2025-01-26,34460.0,34642.42857142857,-1647.002032107296,1464.5734606787234
2025-01-27,49103.0,30876.714285714286,5638.595712253607,12587.690002032106
2025-01-28,10104.0,32893.857142857145,-3870.84789676895,-18919.009246088193
2025-01-29,34700.0,35146.71428571428,-2120.693761430602,1673.9794757163195
2025-01-30,17120.0,38695.28571428571,361.2686445844335,-21936.554358870144
2025-01-31,54370.0,41076.28571428571,181.9294858768542,13111.784799837436
2025-02-01,46170.0,45727.142857142855,1456.749847591953,-1013.8927047348081
2025-02-02,59300.0,46124.28571428571,-1647.002032107296,14822.716317821585
2025-02-03,65770.0,53312.57142857142,5638.595712253607,6818.832859174972
2025-02-04,42660.0,51623.99999999999,-3870.84789676895,-5093.152103231043
2025-02-05,37480.0,50780.85714285714,-2120.693761430602,-11180.163381426535
2025-02-06,67438.0,48237.14285714285,361.2686445844335,18839.58849827272
2025-02-07,42550.0,44549.99999999999,181.9294858768542,-2181.929485876847
2025-02-08,40268.0,46781.428571428565,1456.749847591953,-7970.178419020518
2025-02-09,41494.0,47792.85714285714,-1647.002032107296,-4651.8551107498415
2025-02-10,39960.0,44801.71428571428,5638.595712253607,-10480.30999796789
2025-02-11,58280.0,42386.0,-3870.84789676895,19764.84789676895
2025-02-12,44560.0,44700.57142857143,-2120.693761430602,1980.1223328591745
2025-02-13,46500.0,42695.71428571428,361.2686445844335,3443.017069701284
2025-02-14,25640.0,44570.85714285714,181.9294858768542,-19112.786628733993
2025-02-15,56470.0,41972.28571428571,1456.749847591953,13040.964438122337
2025-02-16,27460.0,40538.0,-1647.002032107296,-11430.997967892705
2025-02-17,53086.0,37743.71428571428,5638.595712253607,9703.69000203211
2025-02-18,40090.0,39278.0,-3870.84789676895,4682.84789676895
2025-02-19,34520.0,39118.57142857142,-2120.693761430602,-2477.877667140818
2025-02-20,26940.0,39477.142857142855,361.2686445844335,-12898.411501727289
2025-02-21,36380.0,38340.57142857143,181.9294858768542,-2142.500914448282
2025-02-22,55354.0,35634.857142857145,1456.749847591953,18262.393009550902
2025-02-23,29970.0,39780.57142857143,-1647.002032107296,-8163.569396464131
2025-02-24,45130.0,41356.28571428571,5638.595712253607,-1864.8814265393175
2025-02-25,21150.0,43556.28571428571,-3870.84789676895,-18535.43781751676
2025-02-26,63540.0,40725.71428571428,-2120.693761430602,24934.979475716318
2025-02-27,37970.0,39549.99999999999,361.2686445844335,-1941.2686445844263
2025-02-28,51780.0,42785.85714285714,181.9294858768542,8812.213371266009
2025-03-01,35540.0,50216.99999999999,1456.749847591953,-16133.749847591946
2025-03-02,21740.0,44506.71428571429,-1647.002032107296,-21119.712253606995
2025-03-03,67781.0,44995.28571428572,5638.595712253607,17147.118573460677
2025-03-04,73168.0,44842.142857142855,-3870.84789676895,32196.705039626097
2025-03-05,23568.0,41930.71428571428,-2120.693761430602,-16242.02052428368
2025-03-06,41390.0,45201.85714285714,361.2686445844335,-4173.125787441571
2025-03-07,50708.0,37686.0,181.9294858768542,12840.070514123146
2025-03-08,15160.0,34909.14285714285,1456.749847591953,-21205.8927047348
2025-03-09,44638.0,38083.71428571428,-1647.002032107296,8201.287746393013
2025-03-10,15170.0,35820.85714285714,5638.595712253607,-26289.452855110743
2025-03-11,53730.0,34679.71428571428,-3870.84789676895,22921.13361105467
2025-03-12,45790.0,38145.428571428565,-2120.693761430602,9765.265190002037
2025-03-13,25550.0,38374.71428571428,361.2686445844335,-13185.982930298716
2025-03-14,42720.0,41208.142857142855,181.9294858768542,1329.9276569802907
2025-03-15,39420.0,38349.57142857143,1456.749847591953,-386.3212761633806
2025-03-16,46243.0,36805.28571428571,-1647.002032107296,11084.716317821585
2025-03-17,35004.0,36551.85714285714,5638.595712253607,-7186.452855110745
2025-03-18,33720.0,40590.99999999999,-3870.84789676895,-3000.152103231043
2025-03-19,34980.0,42097.28571428571,-2120.693761430602,-4996.591952855108
2025-03-20,23776.0,37105.42857142857,361.2686445844335,-13690.697216013006
2025-03-21,70994.0,36740.57142857143,181.9294858768542,34071.49908555172
2025-03-22,49964.0,38843.42857142857,1456.749847591953,9663.821580979475
2025-03-23,11300.0,37047.71428571428,-1647.002032107296,-24100.712253606987
2025-03-24,32450.0,38344.0,5638.595712253607,-11532.595712253607
2025-03-25,48440.0,32098.85714285714,-3870.84789676895,20211.990753911807
2025-03-26,22410.0,30268.28571428571,-2120.693761430602,-5737.591952855108
2025-03-27,32850.0,33381.142857142855,361.2686445844335,-892.4115017272886
2025-03-28,27278.0,31885.999999999993,181.9294858768542,-4789.929485876847
2025-03-29,37150.0,29374.571428571428,1456.749847591953,6318.67872383662
2025-03-30,33090.0,33722.28571428571,-1647.002032107296,1014.7163178215858
2025-03-31,21984.0,36398.0,5638.595712253607,-20052.595712253606
2025-04-01,30860.0,41921.142857142855,-3870.84789676895,-7190.294960373905
2025-04-02,52844.0,44670.57142857143,-2120.693761430602,10294.122332859175
2025-04-03,51580.0,50672.57142857143,361.2686445844335,546.1599268441389
2025-04-04,65940.0,54366.28571428571,181.9294858768542,11391.784799837436
2025-04-05,56396.0,54630.571428571435,1456.749847591953,308.6787238366121
2025-04-06,75104.0,49941.14285714285,-1647.002032107296,26809.859174964447
2025-04-07,47840.0,48166.857142857145,5638.595712253607,-5965.452855110752
2025-04-08,32710.0,46895.42857142857,-3870.84789676895,-10314.580674659623
2025-04-09,20018.0,47231.71428571429,-2120.693761430602,-25093.02052428369
2025-04-10,39160.0,44780.857142857145,361.2686445844335,-5982.125787441579
2025-04-11,57040.0,41952.2857142857,181.9294858768542,14905.784799837444
2025-04-12,58750.0,42312.28571428572,1456.749847591953,14980.96443812233
2025-04-13,57948.0,46851.142857142855,-1647.002032107296,12743.85917496444
2025-04-14,28040.0,47690.57142857143,5638.595712253607,-25289.167140825033
2025-04-15,35230.0,45521.428571428565,-3870.84789676895,-6420.580674659615
2025-04-16,51790.0,42800.0,-2120.693761430602,11110.693761430603
2025-04-17,45036.0,41843.428571428565,361.2686445844335,2831.3027839870015
2025-04-18,41856.0,43767.428571428565,181.9294858768542,-2093.3580573054196
2025-04-19,39700.0,45016.85714285713,1456.749847591953,-6773.606990449083
2025-04-20,51252.0,45956.85714285714,-1647.002032107296,6942.1448892501585
2025-04-21,41508.0,48600.28571428571,5638.595712253607,-12730.881426539318
2025-04-22,43976.0,46215.142857142855,-3870.84789676895,1631.7050396260947
2025-04-23,58370.0,50300.85714285714,-2120.693761430602,10189.836618573465
2025-04-24,63540.0,45042.0,361.2686445844335,18136.731355415566
2025-04-25,25160.0,43666.571428571435,181.9294858768542,-18688.50091444829
2025-04-26,68300.0,45234.28571428571,1456.749847591953,21608.964438122337
2025-04-27,14440.0,40548.57142857143,-1647.002032107296,-24461.569396464132
