sku,cv,xyz_class
AAA_Black_1577,1.6736249305514261,Z
AAA_Black_2640,1.21875,Z
AAA_Black_3318,1.6345871038277526,Z
AAA_Black_7462,1.5874507866387544,Z
AAA_Black_7725,1.4843473977582988,Z
AAA_Black_9253,1.1858541225631425,Z
AAA_Black_9470,1.7928429140015907,Z
AAA_Blue_3988,1.6431676725154982,Z
AAA_Blue_4139,1.5811388300841898,Z
AAA_Blue_8334,1.875,Z
AAA_Clear_1693,1.6345871038277526,Z
AAA_Clear_6277,1.0392304845413263,Z
AAA_Clear_6434,1.5874507866387544,Z
AAA_Clear_7073,1.2046507510281406,Z
AAA_Green_1858,1.5347536447260846,Z
AAA_Green_1908,1.7286645857424165,Z
AAA_Green_2528,1.153846153846154,Z
AAA_Green_4817,1.5811388300841898,Z
AAA_Green_5033,1.699721522614181,Z
AAA_Green_6938,1.518481189862733,Z
AAA_Green_7796,1.7286645857424165,Z
AAA_Green_9615,1.7320508075688772,Z
AAA_Pink_1311,1.5223337347638328,Z
AAA_Pink_2294,1.243734296383275,Z
AAA_Pink_7909,1.7928429140015907,Z
AAA_Pink_9594,1.7928429140015907,Z
AAA_Purple_3038,1.8027756377319946,Z
AAA_Purple_3049,1.5874507866387544,Z
AAA_Purple_3399,0.7605589428059087,Z
AAA_Purple_3646,1.518481189862733,Z
AAA_Purple_4611,1.5,Z
AAA_Purple_5764,1.4361406616345072,Z
AAA_Purple_7609,1.6770509831248424,Z
AAA_Purple_7824,2.0,Z
AAA_Purple_8362,1.4142135623730951,Z
AAA_Purple_8645,1.118033988749895,Z
AAA_Red_5295,1.6770509831248424,Z
AAA_Red_7612,1.6249602665199523,Z
AAA_Red_7992,1.307669683062202,Z
AAA_Red_8534,1.3714442660932307,Z
AAA_Red_8661,1.2278029157808674,Z
AAA_Titanium_1682,1.4553913777743774,Z
AAA_Titanium_4017,1.6736249305514261,Z
AAA_Titanium_8848,1.5347536447260846,Z
AAA_Titanium_9034,1.403121520040228,Z
AAA_White_1844,1.2533977489846402,Z
AAA_White_3643,1.3034491136353326,Z
AAA_White_5168,1.6770509831248424,Z
AAA_White_5701,1.307669683062202,Z
AAA_White_9065,2.0194368026754392,Z
BBB_Black_7214,1.6770509831248424,Z
BBB_Black_8066,1.518481189862733,Z
BBB_Black_9198,1.5874507866387542,Z
BBB_Black_9984,1.3228756555322954,Z
BBB_Blue_2666,1.4279574573494829,Z
BBB_Blue_5153,1.6345871038277529,Z
BBB_Blue_8197,1.3125000000000002,Z
BBB_Blue_8761,0.9656086163658648,Z
BBB_Blue_9580,1.236931687685298,Z
BBB_Clear_5381,0.9949874371066199,Z
BBB_Clear_5799,1.7928429140015907,Z
BBB_Clear_6099,1.5874507866387544,Z
BBB_Clear_6703,1.2533977489846402,Z
BBB_Green_2236,0.8684210526315789,Z
BBB_Green_4107,1.3416407864998738,Z
BBB_Green_4942,1.984313483298443,Z
BBB_Green_8505,1.1409000361828303,Z
BBB_Green_9675,1.6102091284985316,Z
BBB_Pink_3387,1.5874507866387544,Z
BBB_Pink_5147,1.522333734763833,Z
BBB_Pink_5852,1.3456042834258386,Z
BBB_Pink_7897,1.7248787237282068,Z
BBB_Purple_1482,1.1858541225631425,Z
BBB_Purple_4146,1.2792042981336624,Z
BBB_Red_1893,1.5,Z
BBB_Red_2345,1.352081728298996,Z
BBB_Red_6872,1.5347536447260846,Z
BBB_Red_7058,1.2046507510281403,Z
BBB_Red_7529,1.6736249305514261,Z
BBB_Titanium_5322,1.7286645857424165,Z
BBB_Titanium_5485,1.307669683062202,Z
BBB_Titanium_6310,1.2727922061357855,Z
BBB_White_1747,1.3456042834258386,Z
BBB_White_2474,1.7248787237282068,Z
BBB_White_3663,1.3430260638812868,Z
BBB_White_4633,1.243734296383275,Z
BBB_White_5235,1.572622172000563,Z
BBB_White_7079,1.5452362609131383,Z
CCC_Black_1999,1.5452362609131383,Z
CCC_Black_2080,1.7928429140015907,Z
CCC_Black_6996,1.984313483298443,Z
CCC_Black_7296,1.5347536447260846,Z
CCC_Black_8407,1.14090003618283,Z
CCC_Blue_2528,1.7286645857424165,Z
CCC_Blue_3473,1.5874507866387544,Z
CCC_Blue_3895,1.4051653980647145,Z
CCC_Blue_4419,1.909090909090909,Z
CCC_Blue_4612,1.2074386788840692,Z
CCC_Blue_6413,1.7928429140015907,Z
CCC_Blue_8291,1.5452362609131383,Z
CCC_Clear_1274,1.25,Z
CCC_Clear_2175,1.5,Z
CCC_Clear_4480,1.307669683062202,Z
CCC_Clear_4692,1.6736249305514261,Z
CCC_Clear_6193,2.0,Z
CCC_Clear_8930,1.5223337347638328,Z
CCC_Clear_9381,1.3456042834258386,Z
CCC_Green_1403,1.0606601717798214,Z
CCC_Green_2534,1.6345871038277526,Z
CCC_Green_3542,1.2278029157808674,Z
CCC_Green_3802,1.307669683062202,Z
CCC_Green_6440,1.6770509831248424,Z
CCC_Green_7276,1.518481189862733,Z
CCC_Green_7311,1.224744871391589,Z
CCC_Green_7884,1.5223337347638328,Z
CCC_Pink_2372,1.5,Z
CCC_Pink_6619,1.7320508075688772,Z
CCC_Pink_7226,1.2074386788840692,Z
CCC_Pink_8383,1.5603109666024912,Z
CCC_Pink_8919,1.5811388300841898,Z
CCC_Pink_9680,1.518481189862733,Z
CCC_Purple_4954,1.243734296383275,Z
CCC_Purple_7445,1.3456042834258386,Z
CCC_Purple_8847,1.7684739183827394,Z
CCC_Purple_9600,1.511435997821345,Z
CCC_Purple_9765,1.3003185772597667,Z
CCC_Red_5609,1.2278029157808674,Z
CCC_Red_6375,1.74928556845359,Z
CCC_Red_7696,1.4142135623730951,Z
CCC_Titanium_2027,1.7928429140015907,Z
CCC_Titanium_4827,1.6736249305514261,Z
CCC_Titanium_5503,1.4414597193293262,Z
CCC_Titanium_6837,1.5452362609131383,Z
CCC_Titanium_7668,1.254059153254579,Z
CCC_White_2543,1.4731321540158122,Z
CCC_White_6266,1.254059153254579,Z
DDD_Black_1564,1.824828759089466,Z
DDD_Black_1710,1.5347536447260846,Z
DDD_Black_2486,0.9486832980505138,Z
DDD_Black_2968,0.8351646544245033,Z
DDD_Black_4197,1.6770509831248424,Z
DDD_Black_8635,1.2120265114521256,Z
DDD_Black_9724,1.5,Z
DDD_Blue_3042,1.8493242008906927,Z
DDD_Blue_4543,1.7928429140015907,Z
DDD_Blue_7114,1.3125000000000002,Z
DDD_Blue_9263,1.572622172000563,Z
DDD_Clear_1598,1.224744871391589,Z
DDD_Clear_6349,1.5874507866387544,Z
DDD_Clear_8095,1.5874507866387544,Z
DDD_Clear_9288,1.5874507866387544,Z
DDD_Green_2949,1.5874507866387544,Z
DDD_Green_6168,1.984313483298443,Z
DDD_Green_6347,1.7928429140015907,Z
DDD_Green_8043,1.824828759089466,Z
DDD_Green_9078,2.1560984046602583,Z
DDD_Pink_8616,1.7684739183827394,Z
DDD_Purple_3955,2.1104695289563082,Z
DDD_Purple_4347,1.9307539073863282,Z
DDD_Purple_5314,1.1858541225631425,Z
DDD_Purple_7099,1.6345871038277526,Z
DDD_Red_2385,1.7320508075688772,Z
DDD_Red_2755,1.824828759089466,Z
DDD_Red_3932,1.6345871038277526,Z
DDD_Red_7490,0.9858465859981766,Z
DDD_Titanium_1174,1.6345871038277526,Z
DDD_Titanium_2057,1.518481189862733,Z
DDD_Titanium_2708,1.7286645857424165,Z
DDD_Titanium_3655,1.5811388300841898,Z
DDD_Titanium_4062,1.518481189862733,Z
DDD_Titanium_5938,1.2494896917525644,Z
DDD_Titanium_6156,1.697056274847714,Z
DDD_Titanium_6448,1.5811388300841898,Z
DDD_Titanium_7441,1.438749456993816,Z
DDD_White_1350,1.7928429140015907,Z
DDD_White_3845,1.6770509831248424,Z
DDD_White_5541,1.282011968547876,Z
DDD_White_5998,1.6770509831248424,Z
DDD_White_7187,1.6736249305514261,Z
DDD_White_8101,1.7928429140015907,Z
DDD_White_8173,1.5811388300841898,Z
DDD_White_9135,1.4039495646800453,Z
EEE_Black_1662,1.5,Z
EEE_Black_2767,1.572622172000563,Z
EEE_Black_4856,1.5811388300841898,Z
EEE_Black_5621,1.7320508075688772,Z
EEE_Black_5749,1.7684739183827394,Z
EEE_Black_7932,1.5,Z
EEE_Blue_1505,1.6736249305514261,Z
EEE_Blue_3320,1.518481189862733,Z
EEE_Blue_5688,1.5223337347638328,Z
EEE_Blue_5790,1.044852131323548,Z
EEE_Blue_6964,1.352081728298996,Z
EEE_Blue_7850,1.7346111205814894,Z
EEE_Blue_8965,1.9315453261414228,Z
EEE_Clear_2689,1.5811388300841898,Z
EEE_Clear_4552,1.5347536447260846,Z
EEE_Clear_6744,1.1224972160321824,Z
EEE_Clear_8415,1.6345871038277526,Z
EEE_Green_1464,1.290170847727746,Z
EEE_Green_3323,1.6770509831248424,Z
EEE_Green_8714,1.5811388300841898,Z
EEE_Green_9742,1.7286645857424165,Z
EEE_Green_9795,1.6770509831248424,Z
EEE_Pink_1003,1.4051653980647145,Z
EEE_Pink_2728,1.7320508075688772,Z
EEE_Pink_4218,1.984313483298443,Z
EEE_Pink_5016,1.875,Z
EEE_Pink_8103,1.7928429140015907,Z
