sku,revenue,profit,quantity,order_id,cumulative_sum,cumulative_percent,percent_contribution,abc_class,Бренд,Категория,Тип,current_price,cv,xyz_class,abc_xyz_class
FFF_Clear_4303,99900,153404.3,27,10,99900,0.008530643240387464,0.008530643240387464,A,KZDOO,Чехлы,Чехол для смартфона,9990.0,1.0,Z,AZ
HHH_Pink_2327,95040,113939.6,46,9,194940,0.01664628221502635,0.008115638974638885,A,KZDOO,Чехлы,Чехол для смартфона,9380.0,1.037346112212187,Z,AZ
FFF_Purple_9422,88800,74336.0,15,8,283740,0.024229076206481872,0.007582793991455524,A,Неизвестно,Чехлы,Неизвестно,11100.0,0.9486832980505138,Z,AZ
BBB_White_3663,77700,47915.0,11,7,361440,0.030864020949005453,0.006634944742523583,A,KZDOO,Чехлы,Чехол для смартфона,11100.0,1.3430260638812868,Z,AZ
CCC_Pink_8383,66600,102646.0,16,6,428040,0.0365511164425971,0.005687095493591642,A,KZDOO,Чехлы,Чехол для смартфона,11100.0,1.5603109666024912,Z,AZ
FFF_Titanium_1822,55500,131297.0,19,5,483540,0.0412903626872568,0.004739246244659702,A,KZDOO,Чехлы,Чехол для смартфона,11100.0,1.3490532229448733,Z,AZ
FFF_Black_3829,55500,96388.0,14,5,539040,0.0460296089319165,0.004739246244659702,A,KZDOO,Чехлы,Чехол для смартфона,11100.0,1.877294514421632,Z,AZ
CCC_Green_7311,55500,45942.0,9,5,594540,0.0507688551765762,0.004739246244659702,A,KZDOO,Чехлы,Чехол для смартфона,11100.0,1.224744871391589,Z,AZ
CCC_Green_1403,55500,74237.0,12,5,650040,0.055508101421235904,0.004739246244659702,A,KZDOO,Чехлы,Чехол для смартфона,11100.0,1.0606601717798214,Z,AZ
AAA_Purple_3399,54796,117330.52,23,7,704836,0.06018723182163902,0.004679130400403118,A,KZDOO,Чехлы,Чехол для смартфона,7828.0,0.7605589428059087,Z,AZ
BBB_Blue_8761,51800,70932.6,25,10,756636,0.06461052831665474,0.004423296495015722,A,KZDOO,Чехлы,Чехол для смартфона,5180.0,0.9656086163658648,Z,AZ
BBB_Green_2236,48400,60146.5,19,8,805036,0.06874349260929492,0.004132964292640173,A,KZDOO,Чехлы,Чехол для смартфона,6050.0,0.8684210526315789,Z,AZ
AAA_White_5168,47960,88541.2,12,4,852996,0.07283888449927473,0.004095391889979807,A,KZDOO,Чехлы,Чехол для смартфона,11990.0,1.6770509831248424,Z,AZ
GGG_Blue_7759,45900,81537.0,15,5,898896,0.07675836923134464,0.003919484732069916,A,KZDOO,Чехлы,Чехол для смартфона,9180.0,1.2,Z,AZ
BBB_Green_8505,45900,51473.399999999994,11,5,944796,0.08067785396341455,0.003919484732069916,A,KZDOO,Чехлы,Чехол для смартфона,9180.0,1.1409000361828303,Z,AZ
FFF_Red_8076,45480,44582.399999999994,12,6,990276,0.08456147412930867,0.0038836201658941126,A,KEEPHONE,Чехлы,Чехол для смартфона,7580.0,1.1858541225631425,Z,AZ
FFF_Blue_4146,45264,40717.520000000004,8,4,1035540,0.08842664966116952,0.0038651755318608425,A,KZDOO,Чехлы,Чехол для смартфона,11316.0,1.5347536447260846,Z,AZ
FFF_White_8621,44400,69206.0,11,4,1079940,0.09221804665689727,0.003791396995727762,A,KZDOO,Чехлы,Чехол для смартфона,11100.0,1.7248787237282068,Z,AZ
EEE_Red_7366,44400,57510.0,9,4,1124340,0.09600944365262504,0.003791396995727762,A,KZDOO,Чехлы,Чехол для смартфона,11100.0,1.5811388300841898,Z,AZ
DDD_Pink_8616,44400,60551.0,10,4,1168740,0.09980084064835279,0.003791396995727762,A,KZDOO,Чехлы,Чехол для смартфона,11100.0,1.7684739183827394,Z,AZ
FFF_Green_1588,44000,60016.0,10,4,1212740,0.10355808091438931,0.0037572402660365207,A,KZDOO,Чехлы,Чехол для смартфона,11000.0,1.3829316685939328,Z,AZ
AAA_Red_8534,43260,51967.2,16,7,1256000,0.10725213123049704,0.0036940503161077246,A,KZDOO,Чехлы,Чехол для смартфона,6180.0,1.3714442660932307,Z,AZ
HHH_Black_7735,43080,55166.4,14,6,1299080,0.1109308110182437,0.003678679787746666,A,KZDOO,Чехлы,Чехол для смартфона,7180.0,1.290170847727746,Z,AZ
GGG_Black_5712,41880,62918.2,16,6,1340960,0.11450702061691664,0.0035762095986729427,A,KEEPHONE,Чехлы,Чехол для смартфона,6980.0,1.21875,Z,AZ
FFF_White_7199,39960,55279.5,10,4,1380920,0.11791927791307164,0.0034122572961549857,A,KZDOO,Чехлы,Чехол для смартфона,9990.0,1.5874507866387544,Z,AZ
